REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
50809.49154,36809.49154,0,63000,15500,3,5,10,152699,40,Regional
19015.15635,11015.15635,0,10950,5290,3,1,10,97458,23,Independent Restaurant
24913.09981,11913.09981,0,12830,9090,3,10,9,9383,5,Independent Restaurant
11156.44385,7356.443846,0,2760,1200,3,8,10,48413,11,Independent Restaurant
27437.26,19437.26,0,800,800,3,2,9,94497,3,Independent Restaurant
15116.17231,14166.17231,0,3720,0,3,8,9,126106,13,Education
11725.80538,4725.805385,0,7600,1600,3,7,10,107295,30,Independent Restaurant
7130.183333,1630.183333,0,4700,2325,3,10,2,99890,14,Retail
4288.038077,4138.038077,0,3400,200,3,4,5,146428,35,Independent Restaurant
6197.111731,2397.111731,1500,6950,0,3,2,5,22767,31,Regional
3894.339423,2944.339423,0,350,1175,3,5,6,146957,10,Independent Restaurant
5317.475769,3217.475769,0,2100,2100,3,4,8,142754,47,Independent Restaurant
8914.018269,6664.018269,1500,2000,425,3,1,2,3403,36,Independent Restaurant
3122.626346,2022.626346,0,1755,1350,3,8,5,86386,30,Independent Restaurant
4604.211923,2254.211923,600,1750,1225,3,6,4,35858,65,Independent Restaurant
11110.51308,4110.513077,0,3800,1250,3,4,6,146966,12,Other
3990.132115,2390.132115,0,2240,400,3,10,8,126392,10,Independent Restaurant
2749.273846,49.27384615,2500,1410,1140,3,7,8,107886,30,Independent Restaurant
14933.61173,933.6117308,2000,7680,4160,3,5,9,132663,21,Retail
8393.763846,7143.763846,0,1100,1175,3,1,10,73452,54,Independent Restaurant
3615.759302,915.7593023,0,1970,950,3,4,6,74545,43,Independent Restaurant
12791.93462,991.9346154,0,0,640,3,6,7,57070,5,Retail
3963.636538,1263.636538,0,1300,300,3,7,10,56606,6,Independent Restaurant
2420.081154,2095.081154,0,1268.5,513.25,3,4,2,77802,50,Independent Restaurant
1836.292308,86.29230769,0,875,0,3,1,6,154926,42,Independent Restaurant
1732.470769,1582.470769,0,600,150,3,8,6,33053,3,Independent Restaurant
5267.870192,1717.870192,1000,3120,665,3,4,10,32586,39,Independent Restaurant
1959.592885,359.5928846,1200,1680,520,3,6,5,45102,6,Independent Restaurant
6370.65,5120.65,1000,0,60,3,6,9,64773,2,Independent Restaurant
2811.664423,1411.664423,0,470,315,3,4,7,26936,33,Retail
2094.661346,844.6613462,0,580,260,3,7,5,42635,53,Independent Restaurant
8787.05973,287.0597297,8000,3640,1640,3,4,6,15126,47,Education
3819.892115,1419.892115,2000,40,40,3,4,5,152664,27,Independent Restaurant
1040.465,390.465,0,0,0,3,2,9,11622,27,Independent Restaurant
4036.722308,1636.722308,2400,1840,770,3,1,9,152734,38,Independent Restaurant
